PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived,AgeGroup,FareCategory,SocialStatus,Child,FarePerPerson,FamilyType
1,2,male,11.0,0,0,49.09,S,1,1,1,Child,Medium,Middle,1,49.09,Single
2,3,male,15.0,0,0,14.84,S,1,1,0,Teen,Low,Lower,1,14.84,Single
3,3,male,35.0,0,0,6.97,S,1,1,0,Young Adult,Low,Lower,0,6.97,Single
4,3,female,15.0,1,1,28.34,C,3,0,1,Teen,Medium,Lower,1,9.446666666666667,Small Family
5,1,male,44.0,0,0,212.09,S,1,1,1,Adult,Very High,Upper,0,212.09,Single
6,1,female,29.0,0,0,146.77,S,1,1,1,Young Adult,High,Upper,0,146.77,Single
7,1,male,31.0,0,0,144.98,S,1,1,1,Young Adult,High,Upper,0,144.98,Single
8,3,male,26.0,0,0,52.36,S,1,1,0,Young Adult,Medium,Lower,0,52.36,Single
9,3,female,40.0,0,0,37.68,S,1,1,0,Adult,Medium,Lower,0,37.68,Single
10,3,male,40.0,0,1,25.28,S,2,0,0,Adult,Medium,Lower,0,12.64,Small Family
11,1,female,34.0,0,0,243.31125,Q,1,1,1,Young Adult,Very High,Upper,0,243.31125,Single
12,3,male,37.0,3,2,40.92,S,6,0,0,Adult,Medium,Lower,0,6.82,Large Family
13,3,male,27.0,0,0,15.62,S,1,1,0,Young Adult,Low,Lower,0,15.62,Single
14,1,male,37.0,0,1,243.31125,S,2,0,1,Adult,Very High,Upper,0,121.655625,Small Family
15,1,female,26.0,0,0,235.15,S,1,1,1,Young Adult,Very High,Upper,0,235.15,Single
16,1,female,30.0,0,0,181.92,S,1,1,1,Young Adult,Very High,Upper,0,181.92,Single
17,2,female,26.0,2,0,71.78,S,3,0,1,Young Adult,Medium,Middle,0,23.926666666666666,Small Family
18,3,female,24.0,0,0,17.34,Q,1,1,1,Young Adult,Low,Lower,0,17.34,Single
19,2,male,21.0,0,1,119.11,S,2,0,1,Young Adult,High,Middle,0,59.555,Small Family
20,2,male,36.0,1,0,88.19,S,2,0,0,Adult,High,Middle,0,44.095,Small Family
21,3,male,47.0,0,0,32.68,C,1,1,0,Adult,Medium,Lower,0,32.68,Single
22,1,male,45.0,0,0,126.9,S,1,1,1,Adult,High,Upper,0,126.9,Single
23,2,male,14.0,0,1,75.99,S,2,0,1,Teen,Medium,Middle,1,37.995,Small Family
24,2,male,47.0,0,0,50.95,S,1,1,0,Adult,Medium,Middle,0,50.95,Single
25,2,male,26.0,1,1,93.52,S,3,0,0,Young Adult,High,Middle,0,31.173333333333332,Small Family
26,3,male,38.0,0,1,32.1,C,2,0,0,Adult,Medium,Lower,0,16.05,Small Family
27,1,female,18.0,0,1,243.31125,S,2,0,1,Teen,Very High,Upper,0,121.655625,Small Family
28,3,female,32.0,0,0,43.53,S,1,1,1,Young Adult,Medium,Lower,0,43.53,Single
29,3,male,34.0,0,0,31.98,C,1,1,0,Young Adult,Medium,Lower,0,31.98,Single
30,1,female,11.0,4,0,228.28,S,5,0,1,Child,Very High,Upper,1,45.656,Large Family
31,3,female,38.0,0,1,33.09,S,2,0,1,Adult,Medium,Lower,0,16.545,Small Family
32,1,male,47.0,3,1,235.72,S,5,0,1,Adult,Very High,Upper,0,47.144,Large Family
33,1,male,28.0,0,0,218.25,C,1,1,1,Young Adult,Very High,Upper,0,218.25,Single
34,3,male,48.0,1,1,9.51,C,3,0,0,Adult,Low,Lower,0,3.17,Small Family
35,3,female,28.0,0,0,5.99,S,1,1,1,Young Adult,Low,Lower,0,5.99,Single
36,3,female,41.0,0,0,23.03,C,1,1,1,Adult,Low,Lower,0,23.03,Single
37,2,male,1.0,2,0,106.9,C,3,0,1,Child,High,Middle,1,35.63333333333333,Small Family
38,1,male,61.0,2,2,243.31125,Q,5,0,1,Senior,Very High,Upper,0,48.66225,Large Family
39,3,male,49.0,0,1,14.67,S,2,0,0,Adult,Low,Lower,0,7.335,Small Family
40,2,male,26.0,0,1,89.25,C,2,0,0,Young Adult,High,Middle,0,44.625,Small Family
41,1,male,4.0,0,2,243.31125,S,3,0,1,Child,Very High,Upper,1,81.10375,Small Family
42,2,male,34.0,2,0,42.78,C,3,0,1,Young Adult,Medium,Middle,0,14.26,Small Family
43,1,female,11.0,0,2,243.31125,S,3,0,1,Child,Very High,Upper,1,81.10375,Small Family
44,3,male,36.0,1,0,14.96,S,2,0,0,Adult,Low,Lower,0,7.48,Small Family
45,2,male,35.0,1,1,71.51,C,3,0,0,Young Adult,Medium,Middle,0,23.83666666666667,Small Family
