Model,Accuracy,Precision,Recall,F1 Score,Cross Validation
Gradient Boosting,0.906,0.9031719532554258,0.9376083188908145,0.9200680272108843,0.8858
AdaBoost,0.905,0.9003322259136213,0.9393414211438474,0.9194232400339271,0.8869999999999999
Random Forest,0.899,0.8966666666666666,0.9324090121317158,0.9141886151231946,0.8808
SVM,0.898,0.8836833602584814,0.9480069324090121,0.9147157190635451,0.8804000000000001
Logistic Regression,0.896,0.8948247078464107,0.92894280762565,0.9115646258503401,0.8814
XGBoost,0.888,0.8894472361809045,0.9202772963604853,0.9045996592844975,0.8788
Decision Tree,0.886,0.8788870703764321,0.9306759098786829,0.9040404040404041,0.8719999999999999
KNN,0.872,0.8735440931780366,0.9098786828422877,0.8913412563667232,0.8632
Extra Trees,0.871,0.8862068965517241,0.8908145580589255,0.888504753673293,0.8512000000000001
Naive Bayes,0.844,0.8765652951699463,0.8492201039861352,0.8626760563380281,0.8452
