PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived
1,2,male,11.0,0,0,49.09,S,1.0,1,1
2,3,male,15.0,0,0,14.84,S,1.0,1,0
3,3,male,35.0,0,0,6.97,S,1.0,1,0
4,3,female,15.0,1,1,28.34,C,3.0,0,1
5,1,male,44.0,0,0,212.09,S,1.0,1,1
6,1,female,29.0,0,0,146.77,S,1.0,1,1
7,1,male,31.0,0,0,144.98,S,1.0,1,1
8,3,male,26.0,0,0,52.36,S,1.0,1,0
9,3,female,40.0,0,0,37.68,S,1.0,1,0
10,3,male,40.0,0,1,25.28,S,2.0,0,0
11,1,female,34.0,0,0,243.31124999999997,Q,1.0,1,1
12,3,male,37.0,3,2,40.92,S,6.0,0,0
13,3,male,27.0,0,0,15.62,S,1.0,1,0
14,1,male,37.0,0,1,243.31124999999997,S,2.0,0,1
15,1,female,26.0,0,0,235.15,S,1.0,1,1
16,1,female,30.0,0,0,181.92,S,1.0,1,1
17,2,female,26.0,2,0,71.78,S,3.0,0,1
18,3,female,24.0,0,0,17.34,Q,1.0,1,1
19,2,male,21.0,0,1,119.11,S,2.0,0,1
20,2,male,36.0,1,0,88.19,S,2.0,0,0
21,3,male,47.0,0,0,32.68,C,1.0,1,0
22,1,male,45.0,0,0,126.9,S,1.0,1,1
23,2,male,14.0,0,1,75.99,S,2.0,0,1
24,2,male,47.0,0,0,50.95,S,1.0,1,0
25,2,male,26.0,1,1,93.52,S,3.0,0,0
26,3,male,38.0,0,1,32.1,C,2.0,0,0
27,1,female,18.0,0,1,243.31124999999997,S,2.0,0,1
28,3,female,32.0,0,0,43.53,S,1.0,1,1
29,3,male,34.0,0,0,31.98,C,1.0,1,0
30,1,female,11.0,4,0,228.28,S,5.0,0,1
31,3,female,38.0,0,1,33.09,S,2.0,0,1
32,1,male,47.0,3,1,235.72,S,5.0,0,1
33,1,male,28.0,0,0,218.25,C,1.0,1,1
34,3,male,48.0,1,1,9.51,C,3.0,0,0
35,3,female,28.0,0,0,5.99,S,1.0,1,1
36,3,female,41.0,0,0,23.03,C,1.0,1,1
37,2,male,1.0,2,0,106.9,C,3.0,0,1
38,1,male,61.0,2,2,243.31124999999997,Q,5.0,0,1
39,3,male,49.0,0,1,14.67,S,2.0,0,0
40,2,male,26.0,0,1,89.25,C,2.0,0,0
41,1,male,4.0,0,2,243.31124999999997,S,3.0,0,1
42,2,male,34.0,2,0,42.78,C,3.0,0,1
43,1,female,11.0,0,2,243.31124999999997,S,3.0,0,1
44,3,male,36.0,1,0,14.96,S,2.0,0,0
45,2,male,35.0,1,1,71.51,C,3.0,0,0
46,3,male,18.0,1,1,28.04,C,3.0,0,0
47,2,male,45.0,0,0,111.9,S,1.0,1,0
48,3,male,40.0,0,0,24.18,S,1.0,1,0
49,3,female,43.0,3,0,12.25,S,4.0,0,1
50,1,male,30.0,1,3,243.31124999999997,S,5.0,0,1
51,3,female,12.0,1,0,6.64,S,2.0,0,1
52,3,male,43.0,0,0,29.2,S,1.0,1,0
53,3,female,26.0,1,1,58.92,S,3.0,0,1
54,3,female,12.0,0,0,41.28,S,1.0,1,1
55,3,male,48.0,0,0,24.55,S,1.0,1,0
56,3,male,57.0,1,0,13.04,Q,2.0,0,0
57,1,male,29.0,0,0,243.31124999999997,S,1.0,1,1
58,1,female,58.0,1,1,213.07,S,3.0,0,1
59,1,male,31.0,0,0,194.81,C,1.0,1,1
60,2,female,25.0,0,0,63.55,S,1.0,1,1
61,2,male,22.0,0,0,114.86,S,1.0,1,1
62,2,male,51.0,0,0,60.03,S,1.0,1,1
63,3,male,20.0,0,2,59.94,S,3.0,0,0
64,2,female,40.0,1,2,79.47,S,4.0,0,1
65,2,male,23.0,1,0,44.04,S,2.0,0,0
66,3,female,24.0,0,0,53.09,Q,1.0,1,0
67,1,male,43.0,0,0,243.31124999999997,S,1.0,1,0
68,3,female,25.0,1,0,46.22,C,2.0,0,1
69,1,male,25.0,1,0,243.31124999999997,S,2.0,0,1
70,3,female,45.0,1,1,7.11,S,3.0,0,0
71,3,male,51.0,1,0,16.72,S,2.0,0,0
72,1,male,38.0,0,0,243.31124999999997,S,1.0,1,1
73,1,male,21.0,0,0,243.31124999999997,C,1.0,1,1
74,3,female,23.0,0,0,5.85,S,1.0,1,0
75,3,male,31.0,0,1,28.16,S,2.0,0,0
76,3,male,34.0,1,0,14.83,S,2.0,0,0
77,3,male,17.0,0,0,52.06,S,1.0,1,0
78,1,female,39.0,3,0,243.31124999999997,C,4.0,0,1
79,2,male,31.0,2,2,79.96,C,5.0,0,1
80,1,male,8.0,2,0,148.4,C,3.0,0,1
81,3,female,18.0,2,1,19.07,S,4.0,0,1
82,3,female,23.0,0,0,31.12,S,1.0,1,0
83,2,male,29.0,2,2,47.44,S,5.0,0,1
84,1,female,55.0,0,1,148.7,S,2.0,0,1
85,2,female,33.0,0,0,99.44,S,1.0,1,1
86,2,male,19.0,1,1,65.04,Q,3.0,0,0
87,3,male,33.0,0,1,45.85,Q,2.0,0,0
88,3,female,25.0,4,0,35.74,Q,5.0,0,1
89,3,male,34.0,1,0,16.79,S,2.0,0,0
90,2,female,38.0,1,0,82.8,S,2.0,0,1
91,1,female,46.0,0,0,137.48,C,1.0,1,1
92,3,female,30.0,1,1,31.16,C,3.0,0,1
93,3,male,51.0,0,1,30.34,C,2.0,0,0
94,3,female,42.0,2,0,11.1,S,3.0,0,1
95,3,female,21.0,0,1,15.06,C,2.0,0,1
96,2,male,59.0,1,0,81.85,S,2.0,0,0
97,3,male,34.0,0,0,18.34,S,1.0,1,0
98,2,female,19.0,0,2,84.45,C,3.0,0,1
99,1,male,51.0,0,0,139.7,S,1.0,1,1
100,1,female,57.0,0,0,243.31124999999997,S,1.0,1,1
101,1,male,30.0,1,1,173.78,S,3.0,0,1
102,3,male,23.0,0,0,50.02,S,1.0,1,0
103,2,male,28.0,0,0,88.13,S,1.0,1,0
104,3,female,39.0,0,0,21.78,S,1.0,1,1
105,3,female,47.0,0,0,51.42,S,1.0,1,1
106,1,female,37.0,0,2,243.31124999999997,S,3.0,0,1
107,2,female,31.0,1,0,54.67,C,2.0,0,1
108,3,female,49.0,0,0,44.25,S,1.0,1,1
109,1,male,26.0,0,0,243.31124999999997,C,1.0,1,1
110,1,male,43.0,0,0,243.31124999999997,S,1.0,1,0
111,2,male,26.0,0,0,75.19,S,1.0,1,0
112,1,male,36.0,0,0,243.31124999999997,S,1.0,1,1
113,3,male,29.0,0,0,56.18,S,1.0,1,0
114,3,male,29.0,1,0,22.64,C,2.0,0,0
115,3,female,25.0,0,0,34.72,S,1.0,1,1
116,3,male,47.0,0,1,30.3,Q,2.0,0,0
117,3,male,20.0,0,2,48.07,S,3.0,0,0
118,1,male,20.0,1,2,168.89,Q,4.0,0,1
119,3,male,58.0,3,0,39.49,S,4.0,0,0
120,3,female,43.0,0,0,46.84,S,1.0,1,0
121,3,female,1.0,4,1,30.97,S,6.0,0,1
122,3,male,23.0,0,0,10.79,S,1.0,1,0
123,2,female,6.0,0,0,58.45,S,1.0,1,1
124,1,male,18.0,0,1,195.54,S,2.0,0,1
125,1,male,1.0,0,1,119.16,S,2.0,0,1
126,2,male,28.0,0,2,41.71,C,3.0,0,1
127,3,male,15.0,0,1,35.82,C,2.0,0,0
128,3,female,31.0,0,1,17.56,S,2.0,0,0
129,1,female,9.0,0,0,195.37,S,1.0,1,1
130,3,male,31.0,0,2,23.52,S,3.0,0,0
131,2,male,25.0,0,0,77.22,C,1.0,1,1
132,1,male,50.0,2,2,243.31124999999997,S,5.0,0,1
133,1,female,48.0,0,0,197.07,S,1.0,1,1
134,2,female,40.0,1,0,116.62,S,2.0,0,1
135,3,male,26.0,1,1,36.77,S,3.0,0,0
136,2,female,56.0,0,0,43.71,S,1.0,1,1
137,3,male,10.0,0,1,18.58,S,2.0,0,0
138,3,female,12.0,0,0,14.47,S,1.0,1,1
139,2,male,29.0,0,2,60.35,S,3.0,0,0
